publishedAt,title,description,source,url,fetched_at,clean_title,clean_description,full_text,sentiment,sector
2025-07-03T05:16:14Z,AI voice startup ElevenLabs pushes global expansion as it gears up for an IPO,AI voice generation platform ElevenLabs reveals plans to be IPO-ready within five years.,CNBC,https://www.cnbc.com/2025/07/03/ai-voice-startup-elevenlabs-plots-global-expansion-eventual-ipo.html,2025-07-04T05:57:51.899364,ai voice startup elevenlabs pushes global expansion as it gears up for an ipo,ai voice generation platform elevenlabs reveals plans to be ipoready within five years,ai voice startup elevenlabs pushes global expansion as it gears up for an ipo. ai voice generation platform elevenlabs reveals plans to be ipoready within five years,negative,"Auto, Pharma"
2025-07-03T05:14:28Z,"India’s manufacturing rally loses steam on margin, growth woes","As companies boost spending, some investors are questioning whether market demand is keeping pace with the flood of investments. Rich valuations, increased competition and an expiry of government stimulus programs are adding to the unease.",Bloomberg,https://www.bloomberg.com/news/articles/2025-07-03/india-s-manufacturing-rally-loses-steam-on-margin-growth-woes,2025-07-04T05:57:51.899364,indias manufacturing rally loses steam on margin growth woes,as companies boost spending some investors are questioning whether market demand is keeping pace with the flood of investments rich valuations increased competition and an expiry of government stimulus programs are adding to the unease,indias manufacturing rally loses steam on margin growth woes. as companies boost spending some investors are questioning whether market demand is keeping pace with the flood of investments rich valuations increased competition and an expiry of government stimulus programs are adding to the unease,positive,Uncategorized
2025-07-03T05:13:09Z,Norwegian Cruise Line Target of Unusually Large Options Trading (NYSE:NCLH),"Norwegian Cruise Line Holdings Ltd. (NYSE:NCLH – Get Free Report) was the target of some unusual options trading activity on Wednesday. Stock traders acquired 53,191 call options on the company. This is an increase of 94% compared to the average daily volume …",ETF Daily News,https://www.etfdailynews.com/2025/07/03/norwegian-cruise-line-target-of-unusually-large-options-trading-nysenclh/,2025-07-04T05:57:51.899364,norwegian cruise line target of unusually large options trading nysenclh,norwegian cruise line holdings ltd nysenclh get free report was the target of some unusual options trading activity on wednesday stock traders acquired call options on the company this is an increase of compared to the average daily volume,norwegian cruise line target of unusually large options trading nysenclh. norwegian cruise line holdings ltd nysenclh get free report was the target of some unusual options trading activity on wednesday stock traders acquired call options on the company this is an increase of compared to the average daily volume,negative,Uncategorized
2025-07-03T05:05:54Z,Stock market update: Mining stocks mixed as market rises,The 30-share BSE Sensex was  up  343.75 points at 83753.44,The Times of India,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-mixed-as-market-rises/articleshow/122219236.cms,2025-07-04T05:57:51.899364,stock market update mining stocks mixed as market rises,the share bse sensex was up points at,stock market update mining stocks mixed as market rises. the share bse sensex was up points at,negative,Metals
2025-07-03T04:59:17Z,"Marico, Vedanta, Nalco, Dixon Tech, Indus Towers, Godrej Properties, M&M Finance Are Buzzing On Dealers' Desk","NDTV Profit India has been tracking the action in the top dealing rooms of India’s financial capital, and this edition of ‘Heard On The Street’ provides you with buzzing action on stocks like Marico, Vedanta, NALCO, Dixon Tech, Indus Towers, Godrej Properties…",Ndtvprofit.com,https://www.ndtvprofit.com/markets/marico-vedanta-nalco-dixon-tech-indus-towers-godrej-properties-mm-financeare-buzzing-on-dealers-desk-heard-on-the-street-july-2,2025-07-04T05:57:51.899364,marico vedanta nalco dixon tech indus towers godrej properties mm finance are buzzing on dealers desk,ndtv profit india has been tracking the action in the top dealing rooms of indias financial capital and this edition of heard on the street provides you with buzzing action on stocks like marico vedanta nalco dixon tech indus towers godrej properties,marico vedanta nalco dixon tech indus towers godrej properties mm finance are buzzing on dealers desk. ndtv profit india has been tracking the action in the top dealing rooms of indias financial capital and this edition of heard on the street provides you with buzzing action on stocks like marico vedanta nalco dixon tech indus towers godrej properties,negative,IT
2025-07-03T04:52:41Z,India-Australia pact on undersea surveillance comes into effect,India and Australia's undersea surveillance pact came into effect on Thursday with a three-year joint research project between Australia’s DSTG and India’s DRDO. The collaboration will focus on enhancing detection and tracking of submarines and underwater veh…,The Times of India,https://economictimes.indiatimes.com/news/defence/india-australia-pact-on-undersea-surveillance-comes-into-effect/articleshow/122218933.cms,2025-07-04T05:57:51.899364,indiaaustralia pact on undersea surveillance comes into effect,india and australias undersea surveillance pact came into effect on thursday with a threeyear joint research project between australias dstg and indias drdo the collaboration will focus on enhancing detection and tracking of submarines and underwater veh,indiaaustralia pact on undersea surveillance comes into effect. india and australias undersea surveillance pact came into effect on thursday with a threeyear joint research project between australias dstg and indias drdo the collaboration will focus on enhancing detection and tracking of submarines and underwater veh,negative,Uncategorized
2025-07-03T04:50:01Z,"Eternal shares up 30% since March. Investors are feasting, but can Zomato’s parent justify the appetite?","Eternal's shares have surged 30% since March, fueled by Blinkit's rapid growth and dark store expansion. While Blinkit aims for EBITDA breakeven by Q3FY26, aggressive competition and store additions may impact near-term profitability. Despite challenges, brok…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/eternal-shares-up-30-since-march-investors-are-feasting-but-can-zomatos-parent-justify-the-appetite/articleshow/122218939.cms,2025-07-04T05:57:51.899364,eternal shares up since march investors are feasting but can zomatos parent justify the appetite,eternals shares have surged since march fueled by blinkits rapid growth and dark store expansion while blinkit aims for ebitda breakeven by qfy aggressive competition and store additions may impact nearterm profitability despite challenges brok,eternal shares up since march investors are feasting but can zomatos parent justify the appetite. eternals shares have surged since march fueled by blinkits rapid growth and dark store expansion while blinkit aims for ebitda breakeven by qfy aggressive competition and store additions may impact nearterm profitability despite challenges brok,neutral,Uncategorized
2025-07-03T04:41:12Z,Markets open mixed as trade deal hopes counter FII selling pressure,"Benchmark indices open mixed, with Sensex at 83,540.74 and Nifty at 25,505.10; steel stocks rally, banking sector faces pressure.",BusinessLine,https://www.thehindubusinessline.com/markets/stock-markets/markets-open-mixed-as-trade-deal-hopes-counter-fii-selling-pressure/article69766988.ece,2025-07-04T05:57:51.899364,markets open mixed as trade deal hopes counter fii selling pressure,benchmark indices open mixed with sensex at and nifty at steel stocks rally banking sector faces pressure,markets open mixed as trade deal hopes counter fii selling pressure. benchmark indices open mixed with sensex at and nifty at steel stocks rally banking sector faces pressure,positive,Uncategorized
2025-07-03T04:34:15Z,Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex was  up  310.63 points at 83720.32,The Times of India,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/122218629.cms,2025-07-04T05:57:51.899364,stock market update fertilisers stocks up as market rises,the share bse sensex was up points at,stock market update fertilisers stocks up as market rises. the share bse sensex was up points at,neutral,Uncategorized
2025-07-03T04:33:54Z,"Blocked again! Pakistani celebs like Yumna Zaidi, Ahad Raza, Shahid Afridi, Mawra Hocane vanish from Indian social media after brief return","Pakistani celebrities' social media accounts, briefly accessible in India, are now blocked again following a legal request. The All Indian Cine Workers Association (AICWA) has renewed its demand for a complete ban on Pakistani content, citing terror attacks a…",The Times of India,https://economictimes.indiatimes.com/news/india/blocked-again-pakistani-celebs-like-yumna-zaidi-ahad-raza-shahid-afridi-mawra-hocane-vanish-from-indian-social-media-after-brief-return/articleshow/122218450.cms,2025-07-04T05:57:51.899364,blocked again pakistani celebs like yumna zaidi ahad raza shahid afridi mawra hocane vanish from indian social media after brief return,pakistani celebrities social media accounts briefly accessible in india are now blocked again following a legal request the all indian cine workers association aicwa has renewed its demand for a complete ban on pakistani content citing terror attacks a,blocked again pakistani celebs like yumna zaidi ahad raza shahid afridi mawra hocane vanish from indian social media after brief return. pakistani celebrities social media accounts briefly accessible in india are now blocked again following a legal request the all indian cine workers association aicwa has renewed its demand for a complete ban on pakistani content citing terror attacks a,positive,Uncategorized
2025-07-03T04:30:27Z,India’s E-Commerce stocks outrun Chinese peers on profit hopes,"Shares of Swiggy Ltd. climbed 20% last month, topping the NSE Nifty 100 Index, while Eternal Ltd. advanced 11%. The rally in India’s fast-growing quick-commerce sector — which delivers daily essentials in just minutes — contrasts sharply with losses for count…",Bloomberg,https://www.bloomberg.com/news/articles/2025-07-03/india-s-e-commerce-stocks-outrun-chinese-peers-on-profit-hopes,2025-07-04T05:57:51.899364,indias ecommerce stocks outrun chinese peers on profit hopes,shares of swiggy ltd climbed last month topping the nse nifty index while eternal ltd advanced the rally in indias fastgrowing quickcommerce sector which delivers daily essentials in just minutes contrasts sharply with losses for count,indias ecommerce stocks outrun chinese peers on profit hopes. shares of swiggy ltd climbed last month topping the nse nifty index while eternal ltd advanced the rally in indias fastgrowing quickcommerce sector which delivers daily essentials in just minutes contrasts sharply with losses for count,neutral,Uncategorized
2025-07-03T04:27:16Z,India’s e-commerce stocks Swiggy and Eternal outrun Chinese peers on profit hopes,"India’s top e-commerce and quick-commerce stocks have surged ahead of local indices and regional peers, driven by renewed investor confidence in their growth and profitability. Swiggy rose 20% in June, while Eternal Ltd. gained 11%, outpacing the Nifty 100. T…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/indias-e-commerce-stocks-swiggy-and-eternal-outrun-chinese-peers-on-profit-hopes/articleshow/122218477.cms,2025-07-04T05:57:51.899364,indias ecommerce stocks swiggy and eternal outrun chinese peers on profit hopes,indias top ecommerce and quickcommerce stocks have surged ahead of local indices and regional peers driven by renewed investor confidence in their growth and profitability swiggy rose in june while eternal ltd gained outpacing the nifty t,indias ecommerce stocks swiggy and eternal outrun chinese peers on profit hopes. indias top ecommerce and quickcommerce stocks have surged ahead of local indices and regional peers driven by renewed investor confidence in their growth and profitability swiggy rose in june while eternal ltd gained outpacing the nifty t,neutral,Uncategorized
2025-07-03T04:06:29Z,The 57% pattern: What 2 decades of Nifty data reveals about stock market cycles,"Following a 17% surge from April lows, the Nifty's recovery may have further to run, mirroring historical patterns of significant rebounds after corrections. Data from the past 21 years indicates an average 57% bounce-back within 12 months post-correction, su…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/the-57-pattern-what-2-decades-of-nifty-data-reveals-about-stock-market-cycles/articleshow/122218118.cms,2025-07-04T05:57:51.899364,the pattern what decades of nifty data reveals about stock market cycles,following a surge from april lows the niftys recovery may have further to run mirroring historical patterns of significant rebounds after corrections data from the past years indicates an average bounceback within months postcorrection su,the pattern what decades of nifty data reveals about stock market cycles. following a surge from april lows the niftys recovery may have further to run mirroring historical patterns of significant rebounds after corrections data from the past years indicates an average bounceback within months postcorrection su,positive,Auto
2025-07-03T04:00:00Z,Jaguar: indeterminate sex rather than cars sales,Americans thought the Budweiser/Dylan Mulvaney debacle was one for the ages. It was certainly in the running. How could a company whose product was dependent on the good will and tastes of Normal Americans so badly misread its customer base? Anheuser...,Americanthinker.com,https://www.americanthinker.com/blog/2025/07/jaguar_indeterminate_sex_rather_than_cars_sales.html,2025-07-04T05:57:51.899364,jaguar indeterminate sex rather than cars sales,americans thought the budweiserdylan mulvaney debacle was one for the ages it was certainly in the running how could a company whose product was dependent on the good will and tastes of normal americans so badly misread its customer base anheuser,jaguar indeterminate sex rather than cars sales. americans thought the budweiserdylan mulvaney debacle was one for the ages it was certainly in the running how could a company whose product was dependent on the good will and tastes of normal americans so badly misread its customer base anheuser,positive,Uncategorized
2025-07-03T03:54:26Z,Message conveyed with great clarity: Jaishankar on objective of Operation Sindoor,"A joint statement issued by Quad Foreign Ministers - Jaishankar, US Secretary of State Marco Rubio, Foreign Minister of Australia Penny Wong, and Japanese Foreign Minister Takeshi Iwaya - unequivocally condemned all acts of terrorism and violent extremism in …",BusinessLine,https://www.thehindubusinessline.com/news/national/message-conveyed-with-great-clarity-jaishankar-on-objective-of-operation-sindoor/article69766937.ece,2025-07-04T05:57:51.899364,message conveyed with great clarity jaishankar on objective of operation sindoor,a joint statement issued by quad foreign ministers jaishankar us secretary of state marco rubio foreign minister of australia penny wong and japanese foreign minister takeshi iwaya unequivocally condemned all acts of terrorism and violent extremism in,message conveyed with great clarity jaishankar on objective of operation sindoor. a joint statement issued by quad foreign ministers jaishankar us secretary of state marco rubio foreign minister of australia penny wong and japanese foreign minister takeshi iwaya unequivocally condemned all acts of terrorism and violent extremism in,negative,Uncategorized
2025-07-03T03:35:04Z,SpiceJet shares in focus after aircraft window frame dislodges mid-flight,"SpiceJet shares are under scrutiny following a mid-air incident involving a dislodged cosmetic window frame on a Q400 aircraft. The airline assures that passenger safety and aircraft integrity were not compromised, emphasizing the component was non-structural…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/spicejet-shares-in-focus-after-aircraft-window-frame-dislodges-mid-flight/articleshow/122217745.cms,2025-07-04T05:57:51.899364,spicejet shares in focus after aircraft window frame dislodges midflight,spicejet shares are under scrutiny following a midair incident involving a dislodged cosmetic window frame on a q aircraft the airline assures that passenger safety and aircraft integrity were not compromised emphasizing the component was nonstructural,spicejet shares in focus after aircraft window frame dislodges midflight. spicejet shares are under scrutiny following a midair incident involving a dislodged cosmetic window frame on a q aircraft the airline assures that passenger safety and aircraft integrity were not compromised emphasizing the component was nonstructural,positive,Uncategorized
2025-07-03T03:32:02Z,Nestle India shares in focus after new Maggi noodles line added at Sanand plant,"Nestle India is expanding its Maggi noodles production with a new line at its Sanand plant in Gujarat. This Rs 105 crore investment will boost capacity by 20,300 tonnes annually by fiscal year 2026. It is part of a larger capital expenditure plan. The Sanand …",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/nestle-india-shares-in-focus-after-new-maggi-noodles-line-added-at-sanand-plant/articleshow/122217677.cms,2025-07-04T05:57:51.899364,nestle india shares in focus after new maggi noodles line added at sanand plant,nestle india is expanding its maggi noodles production with a new line at its sanand plant in gujarat this rs crore investment will boost capacity by tonnes annually by fiscal year it is part of a larger capital expenditure plan the sanand,nestle india shares in focus after new maggi noodles line added at sanand plant. nestle india is expanding its maggi noodles production with a new line at its sanand plant in gujarat this rs crore investment will boost capacity by tonnes annually by fiscal year it is part of a larger capital expenditure plan the sanand,neutral,Uncategorized
2025-07-03T03:31:00Z,Know how a young scammer with MCA degree used stock market returns as bait to steal over Rs 10 crore in one month,"A cyber fraud, orchestrated by young individuals aged 27-28, has siphoned off over Rs 10 crore from unsuspecting Indian investors in just one month. Using social media platforms like WhatsApp, the scammers lured victims with promises of high stock market retu…",The Times of India,https://economictimes.indiatimes.com/wealth/save/know-how-a-young-scammer-with-mca-degree-used-stock-market-returns-as-bait-to-steal-over-rs-10-crore-in-one-month/articleshow/122204880.cms,2025-07-04T05:57:51.899364,know how a young scammer with mca degree used stock market returns as bait to steal over rs crore in one month,a cyber fraud orchestrated by young individuals aged has siphoned off over rs crore from unsuspecting indian investors in just one month using social media platforms like whatsapp the scammers lured victims with promises of high stock market retu,know how a young scammer with mca degree used stock market returns as bait to steal over rs crore in one month. a cyber fraud orchestrated by young individuals aged has siphoned off over rs crore from unsuspecting indian investors in just one month using social media platforms like whatsapp the scammers lured victims with promises of high stock market retu,negative,Uncategorized
2025-07-03T03:29:21Z,"Garena Free Fire Max redeem codes today July 3: Here are active codes for free skins, diamonds, and more","Garena Free Fire Max redeem codes today: Garena has released new Free Fire Max redeem codes for July 3, offering players a chance to acquire in-game rewards like skins and diamonds. These alphanumeric codes, valid for one-time use, can be redeemed on the offi…",The Times of India,https://economictimes.indiatimes.com/news/new-updates/garena-free-fire-max-redeem-codes-today-july-3-here-are-active-codes-for-free-skins-diamonds-and-more/articleshow/122217569.cms,2025-07-04T05:57:51.899364,garena free fire max redeem codes today july here are active codes for free skins diamonds and more,garena free fire max redeem codes today garena has released new free fire max redeem codes for july offering players a chance to acquire ingame rewards like skins and diamonds these alphanumeric codes valid for onetime use can be redeemed on the offi,garena free fire max redeem codes today july here are active codes for free skins diamonds and more. garena free fire max redeem codes today garena has released new free fire max redeem codes for july offering players a chance to acquire ingame rewards like skins and diamonds these alphanumeric codes valid for onetime use can be redeemed on the offi,negative,Uncategorized
2025-07-03T03:14:14Z,Paras Defence to trade ex-split on Friday. Last chance to buy today,"Paras Defence and Space Technologies shares will trade ex-split on Friday, July 4. The company's stock split was approved on June 7, 2025. The company reported strong Q4FY25 results, with net profit rising 97.8% YoY to Rs 20 crore. Revenue for the quarter gre…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/paras-defence-to-trade-ex-split-on-friday-last-chance-to-buy-today/articleshow/122217421.cms,2025-07-04T05:57:51.899364,paras defence to trade exsplit on friday last chance to buy today,paras defence and space technologies shares will trade exsplit on friday july the companys stock split was approved on june the company reported strong qfy results with net profit rising yoy to rs crore revenue for the quarter gre,paras defence to trade exsplit on friday last chance to buy today. paras defence and space technologies shares will trade exsplit on friday july the companys stock split was approved on june the company reported strong qfy results with net profit rising yoy to rs crore revenue for the quarter gre,neutral,Uncategorized
2025-07-03T03:12:30Z,"Mahindra & Mahindra, Axis Bank and 2 more Nifty stocks approach record date for dividend. Last day to buy today","Mahindra & Mahindra, Axis Bank, Nestle, and Tech Mahindra shares will trade ex-dividend from July 4. This is also the record date for the final dividend. Over twenty other stocks, including AU Small Finance Bank and Bharat Forge, also have the same ex-date an…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/mahindra-mahindra-axis-bank-and-2-more-nifty-stocks-approach-record-date-for-dividend-last-day-to-buy-today/articleshow/122217375.cms,2025-07-04T05:57:51.899364,mahindra mahindra axis bank and more nifty stocks approach record date for dividend last day to buy today,mahindra mahindra axis bank nestle and tech mahindra shares will trade exdividend from july this is also the record date for the final dividend over twenty other stocks including au small finance bank and bharat forge also have the same exdate an,mahindra mahindra axis bank and more nifty stocks approach record date for dividend last day to buy today. mahindra mahindra axis bank nestle and tech mahindra shares will trade exdividend from july this is also the record date for the final dividend over twenty other stocks including au small finance bank and bharat forge also have the same exdate an,negative,"Finance, Auto"
2025-07-03T02:57:25Z,Small Investors Pour $42 Billion Into Indian Equities,,Biztoc.com,https://biztoc.com/x/cee590eecf770f54,2025-07-04T05:57:51.899364,small investors pour billion into indian equities,,,neutral,Uncategorized
2025-07-03T02:56:36Z,"Nykaa shares in focus as early investors plan Rs 1,200-crore stake sale via block deal","Early investors of Nykaa, Harindarpal Singh Banga and Indra Banga, are set to sell shares. The sale could reach Rs 1,200 crore through a block deal. Up to 60 million shares will be sold at Rs 200 each. Goldman Sachs and JP Morgan are managing the deal. Procee…",The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/nykaa-shares-in-focus-as-early-investors-plan-rs-1200-crore-stake-sale-via-block-deal/articleshow/122217196.cms,2025-07-04T05:57:51.899364,nykaa shares in focus as early investors plan rs crore stake sale via block deal,early investors of nykaa harindarpal singh banga and indra banga are set to sell shares the sale could reach rs crore through a block deal up to million shares will be sold at rs each goldman sachs and jp morgan are managing the deal procee,nykaa shares in focus as early investors plan rs crore stake sale via block deal. early investors of nykaa harindarpal singh banga and indra banga are set to sell shares the sale could reach rs crore through a block deal up to million shares will be sold at rs each goldman sachs and jp morgan are managing the deal procee,negative,Uncategorized
2025-07-03T02:28:51Z,Indogulf Cropsciences IPO listing today. Check GMP ahead of debut,Indogulf Cropsciences is set to list its shares on the stock exchanges. The IPO saw strong investor demand. The company's IPO was subscribed over 27 times. It plans to use the IPO proceeds for working capital and debt repayment. Indogulf reported a profit of …,The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/indogulf-cropsciences-ipo-listing-today-check-gmp-ahead-of-debut/articleshow/122216815.cms,2025-07-04T05:57:51.899364,indogulf cropsciences ipo listing today check gmp ahead of debut,indogulf cropsciences is set to list its shares on the stock exchanges the ipo saw strong investor demand the companys ipo was subscribed over times it plans to use the ipo proceeds for working capital and debt repayment indogulf reported a profit of,indogulf cropsciences ipo listing today check gmp ahead of debut. indogulf cropsciences is set to list its shares on the stock exchanges the ipo saw strong investor demand the companys ipo was subscribed over times it plans to use the ipo proceeds for working capital and debt repayment indogulf reported a profit of,neutral,Uncategorized
2025-07-03T02:23:35Z,Indogulf Cropsciences to list today,"Indogulf Cropsciences IPO lists on bourses with strong response from investors, expected to list with 15-20% premium.",BusinessLine,https://www.thehindubusinessline.com/markets/indogulf-cropsciences-to-list-today/article69766838.ece,2025-07-04T05:57:51.899364,indogulf cropsciences to list today,indogulf cropsciences ipo lists on bourses with strong response from investors expected to list with premium,indogulf cropsciences to list today. indogulf cropsciences ipo lists on bourses with strong response from investors expected to list with premium,neutral,Uncategorized
